S2 LUI Lua binding table -- g_luiLuaBindings @ IDA 0x00B37F30, 664 entries
luaL_Reg {const char* name, lua_CFunction fn}, 16-byte stride.
Self-naming: name and pointer in the same record, so every name is PROVEN.

AE_ClaimChallengeReward                            0x00122AA0
AE_GetNewlyCompletedAchievements                   0x00122E80
AE_ResetNewlyCompletedAchievements                 0x00122F50
AE_GetRecentlyExpiredAchievements                  0x00123000
AE_ResetRecentlyExpiredAchievements                0x001230D0
AE_ResetRecentlyExpiredAchievementByID             0x00123180
AE_GetCommunityAchievementCounterTotal             0x00123250
AE_IsCommunityAchievementCounterKnown              0x00123300
AE_FetchPlayerExpiredAchievementsSinceTimestamp    0x00123440
AE_GetPlayerExpiredAchievementsSinceTimestamp      0x00123500
SyncPlayerXP                                       0x001235F0
Inventory_IsItemUsableForPlayer                    0x00123600
Inventory_IsItemGUIDUsableForPlayer                0x00123710
Inventory_IsItemGuidAZMConsumable                  0x001237F0
Loot_GetNumBoosterPacksOfType                      0x00123870
Loot_GetTotalBoosterPacks                          0x00123980
Loot_OpenSupplyPackage                             0x00123A10
Loot_GetLastReportedPlayTime                       0x00123DE0
Loot_GetLastActivityRewards                        0x00123E20
Loot_GetSupplyPackageContent                       0x00123B60
Reward_GameEventNotification                       0x00123ED0
Reward_GameEventComplexNotification                0x00124180
PlayerVote_VoteForPlayer                           0x001246D0
PlayerVote_GetVoteStatusForPlayer                  0x001247F0
PlayerVote_FetchVoteStatus                         0x00124900
PlayerVote_GetTotalVotesReceived                   0x00124A10
PlayerVote_GetTotalVotesCasted                     0x00124AB0
PlayerVote_FetchVotesCount                         0x00124B50
BBPrint                                            0x007532B0
GetBytesFree                                       0x00119610
GetHighestDifficultyForLevel                       0x00119650
SupportsDefaultMenu                                0x00119810
IsXenonDownloadedTitle                             0x00119970
IsXenonDiscContentAvailable                        0x00119990
IsXenonDiscContentPackageAvailable                 0x001199B0
InstallXenonDiscContent                            0x001199D0
SetXenonDiscContentInstalled                       0x001199F0
CancelInstallXenonDiscContent                      0x00119A00
InstallXenonDiscContentStatus                      0x00119A20
DownloadXenonDiscContent                           0x00119A40
IsDownloadingXenonDiscContent                      0x00119A60
ExecWithResolve                                    0x00119A80
IsGamepadEnabled                                   0x00119CC0
HasSpeechFeature                                   0x00119D70
IsSpeechActiveLanguageSupported                    0x00119D90
SpeechEnable                                       0x00119DB0
IsSpeechEnabled                                    0x00119DC0
SpeechEnableGrammar                                0x00119F20
IsSpeechGrammarEnabled                             0x00119F30
SpeechNotify                                       0x00119F50
SpeechEmitKeyPressAndRelease                       0x00119F60
SpeechListGrammars                                 0x00119F70
SpeechListEvents                                   0x00119F80
SetActiveMenu                                      0x00119F90
GetUsernameByController                            0x0011A020
GetXUIDByController                                0x0011A110
HasAcceptedInvite                                  0x0011B840
TogglePause                                        0x0011BAA0
ToggleScoreboard                                   0x0011BAD0
StripTextLocs                                      0x0011A320
ToUpperCase                                        0x0011A420
GetBuildNumber                                     0x0011A4E0
GetMilliseconds                                    0x0011A580
GetCurrentDayMonthYear                             0x0011A680
GetCurrentYear                                     0x0011A760
IsCurrentTimeWithinRange                           0x0011A810
EpochTimeToGameTime                                0x0011A990
GetFormattedDate                                   0x0011AB00
GetFormattedDateTime                               0x0011ABD0
GetFormattedDateTimeForEvent                       0x0011AD40
GetFormattedDateTimeForEventSafe                   0x0011AE10
GetFormattedTime                                   0x0011AF00
GetCurrentFormattedDateTime                        0x0011B010
FormatTimeHoursMinutesSeconds                      0x0011B210
FormatTimeDaysHoursMinutesSeconds                  0x0011B2E0
FormatTimeDaysHoursMinutesSecondsTight             0x0011B3B0
FormatTimeDaysHoursMinutesTight                    0x0011B480
UsingSplitscreenUpscaling                          0x0011BB20
SplitscreenPlayerCount                             0x0011BB60
IsVerticalSplitscreen                              0x0011BBA0
GetCurrentLocalClient                              0x0011BBE0
GetPlayerNameFromEntityNumber                      0x0011BD00
RestartLobby                                       0x0011BDF0
UpdateRankedPlayLeaderboard                        0x0011C060
GetCurrentRankedPlaySeason                         0x0011C070
GetSupplyDropCardCoords                            0x0011C0B0
RebuildTopMenu                                     0x0011C1A0
GetDisplayScalar                                   0x0011C1B0
AnyContentDamaged                                  0x0011C210
UsingStreamingInstall                              0x0011B550
StreamingInstallMap                                0x0011B570
StreamingInstallIsMapInstalled                     0x0011B6B0
StreamingCheckInstall                              0x0011B720
StreamingInstallClearCommand                       0x0011B750
StreamingIsFullyInstalled                          0x0011B760
GetCurrentLanguage                                 0x0011B780
IsCurrentLanguageJapanese                          0x0011B7C0
IsJapaneseSKU                                      0x0011B800
AcceptInvite                                       0x0011B9C0
AllowOnline                                        0x0011B9F0
IsSpecialRegion                                    0x0011BA10
GetPS4RegionID                                     0x0011BA50
ClearMatchData                                     0x0011BA60
ConfirmXB3UserProfileChange                        0x0011BA80
IgnoreXB3UserProfileChange                         0x0011BA90
CanVidRestart                                      0x001258C0
PartyMemberMissingMapPack                          0x00125900
PartyMissingMapPacks                               0x00125B50
PartyEveryoneHasMap                                0x00125DB0
DoIHaveRequiredContentForGame                      0x00125E90
GetPartyMaxPlayers                                 0x00125F80
SetPartyMaxPlayers                                 0x00125FD0
GetPrivatePartyMaxPlayers                          0x00126060
SetPrivatePartyMaxPlayers                          0x001260A0
SetWinnersCircleFlag                               0x00126120
SetGamePartyMaxPlayers                             0x001261E0
GetPartyMinPlayers                                 0x00126270
SetPartyMinPlayers                                 0x001262C0
GetPartyMapName                                    0x00126350
SetPartyMapName                                    0x001263C0
GetPartyGameType                                   0x00126450
SetPartyGameType                                   0x001264C0
GetHubIsPrivateMatch                               0x001265C0
SetHubIsPrivateMatch                               0x00126610
GetGameIsPrivateMatch                              0x001266A0
SetGameIsPrivateMatch                              0x001266F0
SetGameIsRankedMatch                               0x001267A0
IsInGameParty                                      0x00126830
AnyoneHasSeasonPass                                0x00126880
AnyoneHasSpecificDLCPack                           0x001268C0
DLC_CanPurchase                                    0x00126970
DLC_CanPurchasePackName                            0x00126AE0
DLC_GetPackName                                    0x00126BA0
ShowPSPlusUpsell                                   0x00124BE0
ShowXB3GoldUpsell                                  0x00124BF0
GetControllerForLocalClient                        0x00124C10
ActivityFeedWriteInGamePost                        0x00124CD0
DLogRecordEvent                                    0x00124CE0
ComScoreRecordEvent                                0x00124E30
MarketingGetMessage                                0x00125020
MarketingReportMessageViewed                       0x00125390
MarketingClearMessage                              0x001254D0
MarketingClearLocation                             0x00125610
MarketingRefreshMessages                           0x001256F0
MarketingRedeemMessageCodes                        0x00125780
SetStoreEnterTimestamp                             0x00126BC0
GetUpsellMenuViewTime                              0x00126BF0
SetUpsellMenuOpenTimestamp                         0x00126CE0
GetUpsellMenuOpenTimestamp                         0x00126D20
SetUpsellMenuCloseTimestamp                        0x00126D80
ShowPsStoreIcon                                    0x00126DC0
HidePsStoreIcon                                    0x00126DD0
CloseInGameStore                                   0x00126E00
CacheMaterial                                      0x00126E30
ClearCachedMaterials                               0x00126E90
AnyoneHasBadReputation                             0x00126EA0
ToggleAimAssistLockon                              0x00126EC0
ToggleAimAssistSlowdown                            0x00126F60
ToggleExoShieldHold                                0x00127080
ToggleLeftHandBindings                             0x00127090
SetLobbyPresence                                   0x00127130
Help                                               0x00127160
ForceUpdateArenas                                  0x00127170
IsMainThread                                       0x00127190
IsRightToLeftLanguage                              0x001271D0
GetSupportedLanguages                              0x00127210
SetLanguage                                        0x001272E0
IsLanguageChoiceAllowed                            0x00127380
IsSystemLanguageOverridden                         0x001273C0
ShouldShowSubtitlesOption                          0x00127400
GetChallengeState                                  0x001274C0
GetChallengeProgress                               0x001275B0
TransientZonesLoaded                               0x00127690
